name,website
"jSquared, Development Corp.",http://jsquaredapps.com/
NMRKT Inc,http://nmrkt.com/
Tressle,http://tressle.com/
I-ELLA.com,http://www.i-ella.com
Mime-Me,https://itunes.apple.com/app/id556350647
Bignay,http://www.gibike.com
Netted,http://netted.net/
AppSavvy,http://appssavvy.com/
"Trading Games, Inc.",http://www.revenuetrades.com
threeDegrees,http://www.threedegrees.com
CourseSky,http://www.coursesky.com/
The Clarion List,http://www.clarionlist.com
Trendabl,http://trendabl.com/
Israeli Startups NYC,http://israelistartupsnyc.com/
Centzy,http://www.centzy.com
Organized Wisdom,http://www.organizedwisdom.com
"I'm All Girl (and Boys, Too), Inc.",
Hatchzone,http://www.hatchzone.com
NimbleCard.com ,http://www.nimblecard.com
Here's My Collection (HMC Clothing),http://bit.ly/1Fe6Usz
Imprssiv,http://WWW.Imprssiv.Com (Temporary landing page only)
"GREENa Associates, Inc",http://work in progress
New Media Advisory Group,
Jump Ramp Games,http://jumprampgames.com
Storyboard Media Group,http://www.storyboardgroup.com
NopSec Inc.,http://www.nopsec.com
Vook,http://vook.com/
AdmitSee,http://www.admitsee.com
Book&Table,http://www.bookandtable.com
WebVest Securities Inc.,
MHOTO INC,http://www.mhoto.co/beta
Houghton,http://www.houghtonnyc.com
"Spaarsh, Inc",http://angel.co/spaarsh-inc
Kikin,http://www.kikin.com/
TODA,http://www.toda.com/
livingsocial,https://www.livingsocial.com/
FranchiseHelp,http://www.franchisehelp.com/
Skillshare,http://www.skillshare.com/
Innovest Systems,http://innovestsystems.com/
MyStream,http://www.mystreamapp.com
Seeds,http://www.playseeds.com
Digital Natives Group,http://nativesgroup.com/
eSCENTials,http://www.escentials.webs.com
Kettle,http://kettlenyc.com/
Vitals,http://www.vitals.com/
Sketchfab,http://sketchfab.com
Forever Greek Inc.,http://nurtureculture.com
Crowdcap,
Daingean LLC,
Capture Your Flag,http://www.captureyourflag.com
"Baesic, Inc",
Bridgeline Digital,http://www.bridgelinedigital.com/
Helping Hands,
Greenwich Harbor Parnters,http://www.greenwichharborpartners.com/
Nettles Artists Collective,http://www.nettlesartists.com
"Zipmark, Inc",https://www.zipmark.com/
brayola.com,http://brayola.com
Notify Nearby,http://www.notifynearby.com
"Coagulation Sciences, LLC",http://www.coagulationsciences.com
Socialgiri Inc,http://www.socialgiri.com
Science Outreach Center,
Fullscreen,http://www.fullscreen.net/
MealMobs,http://www.mealmobs.com
TxtImpact,http://www.txtimpact.com/
"Myhomepayge, Inc.",http://www.myhomepayge.com
Saviours,
Rochelle Ballard,
Popaholics,
"The Sukhi Life, Lifestyle Services (Sandy Poppins)",http://www.thesukhilife.com/
SleepBot,http://mysleepbot.com
Violetta Knitting Mill,
LetsWombat,http://www.letswombat.com
Dealery,http://dealery.com
Good Game Athletics,http://www.goodgameathletics.com
NewYorkHVAC,
Wave45,http://wave45.tv/
MileWise,http://www.milewise.com/
HopStop,
Rabt,http://www.rabt.co
EveiWonders,
Sports World Access ,
Mekanism,http://www.mekanism.com
Wild Munkie Paraphernalia ,http://www.wmpclothing.com
SongCircle,http://www.songcirclemusic.com
HydrOne,
MATTEOMATTEO,http://www.adorabags.com/
Measurence Inc.,http://www.measurence.com
siftsort.com,http://siftsort.com
yourMD,http://www.yourmdapp.com
mosaic,
Identity2020 Systems,http://www.id2020.org
Zhenuine LLC,http://www.zhenuine.com
thinkplay,http://www.thinkplayaudio.com
Venture For America,
Bluwired,http://bluwired.com
Auralis Inc.,http://www.auralistudio.com
ActorPerks,http://www.actorperks.com
Cognection,http://www.cognection.com
ILoveCollege Clothing,http://www.ilovecollege.org
Shootmap,http://www.shootmap.com/
dinsmore/steele,http://www.dinsmoresteele.com
ChargeUp,
nuriddin a rashid consultant-narcon,
Capital Gain Advisor,http://www.speakadvice.com
Zoningo,http://www.zoningo.com
Fashion GPS,
Data Munch,http://www.datamunch.co
TheLadders,http://www.theladders.com/
Largetail,http://www.largetail.com
Handybook,http://www.handybook.com/
CitiVox,http://citivox.com
BioLite,http://www.biolitestove.com/
Viridis Learning,
Hagglys,http://www.hagglys.com
Chronopix,http://www.chronopix.com/
Metmug Inc.,
Renew Fuel,
D'Fuzion LLC,
Vivastream Inc.,http://www.vivastream.com
Betabeat,http://betabeat.com/
BrandReach,http://brandreach.com/
Lua,https://getlua.com
F-Link,
Voovio,http://www.voovio.com/web/index.html
Servgeter,
Logicworks,http://www.logicworks.net/
Mysterious Creativity Inc.,http://space.btv.com.cn/video/VIDE1367464289896591
"TGK Technologies, LLC",http://www.theglasskiln.com
Ronik,http://www.ronikdesign.com/
Neighborhoodr,http://neighborhoodr.com/
Petflow,http://www.petflow.com/
Third Culture,
The Smack Pack,http://thesmackpack.com/
The Bosco,http://www.thebos.co/
Keen Home,
Activore,http://www.activore.com
FactSet Research Systems,http://www.factset.com/
Night Routers,http://www.nightrouters.com
Microgrid Horizons,
msutyler,
SFCD,http://sfcd.com
Plan2nite,
Cafe Empire,
Youngist,
ShopMyLabel,http://www.shopmylabel.com
"The Army Cadets of New York, Inc.",http://www.acnyleadership.com
WONDAHLAND MUSIC PRODUCTIONS,http://wondahlandmusic.com
Path to Excellence Through the Arts,http://ArtsToExcellence.org
MISSION.tv,http://www.MISSION.tv
Peer39,http://www.peer39.com/
"Zenith-Mart, Inc",http://www.zenith-mart.com
Zizio,http://www.zizio.com
QWhere,http://www.qwhere.org
"Vigor, LLC",http://www.chefpak.com
PetroFeed,https://www.petrofeed.com/
"OBJECT LIAISON, LLC",http://www.carolfertig.com
reserve inc,http://www.wix.com/garridonyc/jonny
TheEventZoo,
Essence Digital,http://essencedigital.com/careers/current-vacancies
TruConnection.com,http://truconnection.com
Solve Media (formally AdCopy),http://www.solvemedia.com/
FeedBac,http://www.getfeedbac.com/
MEDi EDDiE,http://www.medieddie.com/
StartupHub.NYC,http://www.startuphub.nyc
Tutoroo.co,http://tutoroo.co
"Wyst Digital, Inc",http://www.wyst.it
Dapprly,http://www.dapprly.com
leads everlasting Inc.,http://leadseverlasting.com/
Zeus ,
iCorps Technologies,http://www.icorps.com/
Fast Food E-Z Pass,
Shopi Cam,http://www.shopicam.com
Rick Easley,
Gust,http://gust.com
Tandent (Tandent Vision Science),http://www.tandent.com/
Great-Karma.com,http://www.great-karma.com
Criteo,http://www.criteo.com/
Sonar,http://sonar.me/
AIROBY,
IndustryGraph,http://www.industrygraph.com
Equity Scholar,http://www.equityscholar.com
a,
SCENTERPRISES ,http://www.scenterprises.com
EnergyGridIQ,http://www.energygridiq.com
Pitch2Crowd,http://www.pitch2crowd.com
"Jedding, LLC",http://hareiat.com
Fullsix Group,http://www.group.fullsix.com/
Tweet Binder,
Jocomo Corp - Little Compass,http://www.littlecompass.com/LittleCompass
Camayak,http://www.camayak.com
Puppystream,http://puppystream.me
ContextIn Inc.,http://contextin.com/
MyChange,http://www.mychange.com
LogiTech Solutions,
vaZra,
RETAIL2SOCIAL LLC,http://www.retail2social.com
AlumVest,http://alumvest.com
The Baldwin Bawllerz Youth Foundation,
wedeeo,http://www.wedeeo.com
SimpleTexting,http://www.simpletexting.com
Delivery.com,https://www.delivery.com/
SmartLighter,
The Help,
Best Investments,http://www.bestinvestments.biz
Hometeam,
the Lab,
Floored,http://floored.com/
RIDAR Technologies,http://www.ridar-tech.com
Tailor Brands,http://www.tailorbrands.com
Bookish,http://www.bookish.com/home
FRIENDS with BENEFITS,http://www.friendswithbenefitslifestyle.com
Steve's Ice Cream,http://stevesicecream.com/
XS Games,http://xsgames.biz
where is robin?,http://www.whereisrobin.org
Baya Weavers' Collective,
Trantr,http://trantr.com
PaperTrail,http://www.rockpapertrail.com/
Umami Co.,http://www.umami.tv
Rentbot,http://rentbot.co
"The Experience Ticket, Inc.",http://www.theexperienceticket.com
11 Picas,http://11picas.com
The HIP (Holistically Inspired People's) Bar,http://www.thehipbar.com
qool,http://qool.598studiosinc.com
RX AND YOU,http://rxandu.com/
Tumblr,https://www.tumblr.com/
Easypack,
Voice Polls,https://voicepolls.com
Non-Invasive Medical Systems ,
Mindbug,http://www.mindbugstudios.com/
Stackpop,http://www.stackpop.com
RLS Clothing and accessories catalgoue,http://www.rlsclothing.com
Floating Objects Studios LLC,
Breadcrumb (apart of Groupon),https://breadcrumb.groupon.com/
Motive,http://www.thinkmotive.com
MooVooZ,https://www.moovooz.com
Zemoga,http://zemoga.com/
Built by the Factory,http://www.builtbythefactory.com/
THG Coffee ,
GlobalFreedomEntertainment,http://www.globalfreedomentertainment.co/
i-Mobb llc,http://i-Mobb.com
"Butter Beans, Inc.",http://www.butterbeanskitchen.com
Devi's Closet,http://www.deviscloset.com
Symposium ,
Viggle (Function X Inc),http://viggleinc.com/
Flurry,http://www.flurry.com/
Lawdingo,
AJM Inc.,
"Realtimez, Inc. ",http://www.realtimez.com
ProjectSHERPA,https://angel.co/projectsherpa
Kuma Reality Games,http://www.kumagames.com
"Neture, Inc.",http://www.neture.co
Husky Laboratory,http://www.huskylab.co/
instruMagic,http://instru-magic.com
National express events transportation,
IVY,http://www.ivy.com
Krux,http://www.krux.com
JANewYork,
Golfslope,http://www.golfslope.com
6Degrees LLC,
MBLM,http://mblm.com
Cyclone Scanner,
iLovekickboxing of Lindenhurst,http://www.ilovekickboxinglindenhurst.com/
"Taste Of A Dream, LLC",
Post Road HQ,http://www.postroadhq.com/
Beauteeze,http://www.beauteeze.com
Direct Agents,http://directagents.com/
AG Resume Revisions,http://agresumerevisions.blogspot.com
The CementBloc,http://thecementbloc.com/#P0_0
Lyst,http://www.lyst.com
Washington Roberts,http://www.WashingtonRoberts.com
R.F. Madison,http://rfmadison.com
'brellaBox,http://www.brellaboxnyc.com/
MOAT,http://www.moat.com/
Content Galaxy Inc.,http://contentgalaxy.com
NeighborhoodUSA.com,
Red Antler,http://redantler.com/
"Free Smart Shopping USA, Inc",http://www.freesmartshop.com
Greatist,http://greatist.com
"Givkwik, Inc.",https://givkwik.com
LocalSingl.es,http://www.LocalSingl.es
Tomatina,http://www.tomatinajuice.com
hirepurpose,http://www.hirepurpo.se
Teeming Media,http://www.teemingmedia.com/
"CityWide Energy Action, LLC",
Family Wellness Practice,
smart allergy solutions,
Street Potato,
AlphaIntelX,http://alphaintelx.com
green4web,http://Green4web.com
MANDA Innovatio,
Warby Parker,http://www.warbyparker.com/
"TapX Trading & Analytics, Inc.",http://www.tapxtrading.com
Ekcoe,http://ekcoe.com
The Tiny Rebels,http://thetinyrebels.com
Elisa's Love Bites,http://www.elisaslovebites.com
GEMINI8,http://www.gemini8.biz
Armani,
2J2L,
Netmining,http://www.netmining.com/
NutriBump,
BYOB,http://www.byobnyc.com
Arch-Nautilus LLC,http://rgosine.wix.com/index-1
Marqueed,http://www.marqueed.com
Farmigo,
Design Brooklyn,http://www.designbrooklyn.com/
xencard,http://www.xencard.com
SamyRoad,http://www.samyroad.com
Komeeda,
Cartesian Co.,http://www.cartesianco.com
Mapvite,
SocialSched,http://www.socialsched.com
"Hush Studios, inc.",http://heyhush.com/
Snooth Media,http://snoothmedia.com/
Tribal Cuts,http://tribalcuts.com
Elasticiti,http://www.elasticiti.com
Peloton Cycle,
Iconify Creative,http://www.iconify.net/
Qvit ,http://www.qvit.com
Techonomy,http://techonomy.com/
RentSign,
"New Horizon Education Center, Inc.",http://www.newhorizonedcenter.org
Lowekey Media,http://lowekeymedia.com
"CannRx Technology, Inc.",http://www.cannrx.com
Fuse SMS,http://www.fusetext.com
Klooff,http://www.klooff.com
Konstant Infosolutions Pvt. Ltd.,http://www.konstantinfo.com/mobile-application-development.php
Payz.com,http://payz.com/
Canvas Squared,
Netcurate,http://netcurate.com
CrowdSurge,http://www.crowdsurge.com
KAMAS,http://motionassessment.com/
SOM Olive Oil,http://www.somoliveoil.com
Homes Now La. LLC,http://www.homenowla.com
Hive Learning Network NYC (Mozilla Foundation),http://hivelearningnetwork.org
Recently: Your Camera Roll in a Monthly Magazine,http://www.getrecently.com
OpenSky,http://www.theopenskyproject.com
Omegapoint Inc.,http://www.omegapoint.us/pages/1-Offers.php
Rayogram,http://www.rayogram.com/
MiniDates,http://www.minidates.com
FitValet,http://fitvalet.com/
Spoyle,http://www.Spoyle.com
pawpointment.com,http://www.pawpointment.com/healthcare
Purple Eagle Entertainment,http://starspangledbannerchallenge.com/
3S Pharmacy,http://www.3spharmacy.com
Velocidi,http://velocidi.com/
Cartoon Brew,http://www.cartoonbrew.com/
Gifpumper.com,http://gifpumper.com
Data Conversion Laboratory,http://www.dclab.com
HomingMatch,http://homingmatch.com
FRIENDER,http://www.friender-app.com
Small Media Extra Large,http://www.smallmediaxl.com/
"PeerLogix, Inc.",http://www.peerlogix.com
Ashe Avenue,http://www.asheavenue.com/
"Sassafras Distribution, Inc.",http://sassafrasdistribution.com/
Amasty,https://amasty.com/
cir.cl,http://www.cir.cl
PARCELD,
Cultural Difoodsion,http://www.culturaldifoosion.webs.com
Smallknot,http://smallknot.com
Shop My Label,http://www.shopmylabel.com
Rembemberitfor.me (myinfoQ),http://www.rememberitfor.me/
Starkweather,http://www.starkweather.fr
Divvy,http://www.divvygreen.com
HostTonight,http://hosttonight.com
Avalanche Studios,http://www.avalanchestudios.se/
Celebs Outfits,http://www.celebsoutfits.com/
680 Partners LLC,http://www.680partners.com/
Go Cashless,http://www.usethanks.com/
INTER-PRET.us,http://INTER-PRET.us
videodesk,http://videodesk.com
Fancy Hands,https://www.fancyhands.com/
Five Point Snacks,http://www.fivepointsnacks.com
Citease Inc.,http://www.topi.com
phone head  ,http://none
Neverware,http://www.neverware.com/
Swift Technologies | Wave,
Art.sy,http://art.sy
Wondersym,
Digitaria,http://www.digitaria.com/
WindowLikr,http://windowlikr.com
Zotogo,http://zotogo.com
Amo Beverage Group,http://www.abevgroup.com
"GetTogether, LLC.",
Open School EduTech Corp,http://www.openschooleportfolio.com/
Doostang,http://www.doostang.com/
bodyADDICTS,http://www.bodyaddicts.com
Little Duck Organics,http://www.littleduckorganics.com
Tutum,http://tutum.co
Jotalog,
Bandwidth Productions,http://bandwidthproductions.com/#home
Vpms consultants,http://vpmsc.weebly.com
USRealty.com,http://www.usrealty.com
U.T.F (Uni the Fit),http://soontobeannouced.com
Thingle,http://www.thingle.com
"Drason Buck International, INC",
ACE Portal Group,http://ACEportal.com
LiveIntent,http://www.liveintent.com
Burst Media,http://www.burstmedia.com/
Collective[i],http://www.collectivei.com/
ReFashioner Inc,http://refashioner.com
"jupiteRx, Inc.",http://www.jupiterx4d.com
Solaris Entertainment,
"Characters for Hire, LLC",http://www.CharactersForHire.com
DeansList,http://www.deanslistsoftware.com
5ivepoints,http://5ivepoints.com
AIR-BRAIN,
StyleScan,http://www.stylescan.co
"Eighth Son Productions, Inc",http://www.eighthsonproductions.com
Maxymiser,http://www.maxymiser.com/
Cygnus Creations,
WorldBox,
Time-Peace,http://time-peace.org
Mentat,http://www.investwithmentat.com
Expeditioner,http://www.ExpeditionerSafaris.com
CauseCart,http://causecart.com
AuthorBee,http://authorbee.com
Security Sensors,
Patriot Advance LLC,http://www.PatriotAdvance.com
TED,http://www.ted.com/
J&J Fridge cover,
XO Group (formally the Knot inc),http://www.xogroupinc.com
Better Restaurant Group,
Frontier Wealth Management Systems,
FlashTrack,
3Top,http://www.3top.com
One Nine Studios,http://www.oneninestudios.com/
The Smart-Pedal,
Influenster,http://www.influenster.com
"B Holding Group, LLC",http://www.bcondoms.com
Patch,http://www.patch.com/
KuaiBoard,http://www.kuaiboard.com/
D.E.N,http://www.nowebsiteyet.com
MYMUSAIC INC,http://mymusaic.com
Quinquagesima,http://quinqugesima.com
Chart Prophet,http://ChartProphetCapital.com
Adafruit,http://www.adafruit.com
Made by Many,http://madebymany.com/
Narratively,
VitaCraze,
Trendy Reggae,http://trendyreggae.com
Nirvana Solutions,http://www.nirvanasolutions.com/
InspireInYou,http://www.InspireInYou.com
Jamco,
Vimeo,https://vimeo.com/
RA+RE,http://www.ra-re.fr
SMAKK Studios,http://smkkstudios.com/
The Mutual,http://www.themutual.com/
Courtney's Stars of Tomorrow ,
OneWire,https://www.onewire.com/
Funtank (acquired by Publishers Clearing House),http://www.funtank.com/
"MindBody Sessions, LLC",http://mindbodysessions.com
Kyte me,
AnalytixInsight Inc,http://www.analytixinsight.com
MMZ & Co.,
"Healthify, Inc.",http://www.healthify.us
GroupMe (acquired by Skype),https://groupme.com/
Internet Area Network,http://iareanet.com
Botego Inc,http://www.botego.com
Schoolit,http://www.justschoolit.com
NY Tech Meetup,http://www.meetup.com/ny-tech/
MacroHype,http://www.MacroHype.com
JDM Marketing & Promotions,
Soara,http://www.soara.me
AttendingDr,https://www.attendingdr.com/about-attendingdr
lettrs,http://about.lettrs.com
PitLeaf,
"Vericred, Inc.",http://www.vericred.com
"Flip Venture, Inc.",http://www.flipventure.com
UGo Smoothies,http://www.ugosmoothies.com
eMarketer,
SWOON NYC,http://swoonnyc.com
Getacho,http://www.getacho.com
JMT Apps,http://www.jmtapps.com
MetaLabs LLC,http://www.metalabsllc.org
SeeMore Technology,http://www.seemoretechnology.com
Kool Travel,
Cake Group,http://www.cakegroup.com/us/
Ex.fm,http://ex.fm/
Shareswell,http://www.shareswell.com
Clean Cube,http://www.thecleancube.com
Dhungry,http://www.dhungry.com
Smart Socks (SS),
PredictivePlay Inc.,http://www.predictiveplay.com
"Fintel Technologies, Inc.",http://fintelnetwork.com
Roto Premier League,http://www.rotopremierleague.com
NYIRI Properties LLC,
IntroAmerica Inc.,http://www.introamerica.com
Retellity,http://retellity.com
Warshaw Group,http://www.warshawgroup.com/
"Elusive View Entertainment, Inc.",
thefairgoer.com,http://www.thefairgoer.com/
CuriousFeed,http://curiousfeed.com
SeatServe,http://seatserve.com/
Baaltaz,http://baaltaz.com/
FireVoxel,https://files.nyu.edu/hr18/public/
hitME,http://angel.co/isabelsummers
Urban Cups inc.,http://www.cupsapp.com
Planancial,http://www.planancial.com
Concert Window,http://www.concertwindow.com
Rock your brain,
Mediaocean (Donovan Data Systems),http://www.mediaocean.com/
GemSixteen Events,http://www.gemsixteen.com
"Refill, Inc.",
Netted by the Webbys,http://www.netted.net
Quantcast,https://www.quantcast.com/
Ssh-oes,http://www.ssh-oes.com
Spread,http://joinspread.com
"Zola, Inc.",https://www.zola.com
Hinge,http://www.hinge.co
Aisle in Style,
RentHackr,http://renthackr.com
Hooc,
eScoreMusic,http://www.escoremusic.com
Morrow Lane LLC,http://www.morrowlane.com
Coinspace,http://coinspace.io
Everest BBN,http://everestbroadband.com/
Spacio,http://www.spac.io/pro
Spaceman Studios,
EduPlay,
DevSpark LLC,http://www.devspark.com
SmartMoney,http://www.smartmoneyinternational.com
OMGPOP,http://omgpop.com/
Jemoiselle Hair,http://jemoisellehair.com
Obscura Digital,http://obscuradigital.com/
Cater2.me,http://Cater2.me
Hot Studio,http://www.hotstudio.com/
Going Natural,http://going-natural.com
Peeractive,http://www.peeractive.com
NFL,
DigitalUNYC,http://www.digitalunyc.com/
Saroja Yoga ,
Weartrons,http://www.weartrons.com
PulmoBiotech Inc,
Say It With A Condom,http://www.sayitwithacondom.com
"The Niche Project, Inc.",https://www.niche.co/
K.Borgella Inc,http://www.kborgella.com
Bipe.me,http://www.bipe.me
Lofty,http://www.lofty.com/
Permission Data,http://www.permissiondata.com/
AUDUBON,http://www.auduboncenter.org
Rainwater Energy Partners,http://rainwaterenergypartners.com
TurboVote,https://turbovote.org/register
Rocketrip,http://www.rocketrip.com
"Yushino, LLC",http://www.yushino.com
Staff IT,http://staffitinfo.com
DoesThatMakeSense.com,http://www.doesthatmakesense.com
Weesh,"http://www.getweesh.com, www.storyboard.me/weesh"
COAWAY LLC,http://www.coaway.com
"Evermore Pet Food, Inc.",http://evermorepetfood.com
Runway Gym,
CreativeWorx,http://www.creativeworx.com
BuzzBuzzHome Corp.,http://www.buzzbuzzhome.com/
Toegos,
batteryPOP,http://www.batterypop.com
Surreal Games,http://surre.al
soul street,
Giftorious,
EdTechLens,http://www.edtechlens.com
MontLee Productions,http://fantasy-realitytv.com
Krrb.com,http://krrb.com
Lifedots,https://lifedots.com/
APDS,http://www.apdscorporate.com
CyberCity,http://cybercityinc.com/
NextCustomer,http://nextcustomer.com/
Conspired Minds,http://conspiredminds.com/
Upworthy,http://www.upworthy.com/
The Restaurant Zone,http://www.therestaurantzone.com
THINKINNOVATION?,http://na
RelationshipTechnologies,http://www.RelationshipTechnologies.com
R A E A N A,http://www.raeana.com
"Brand Labs NY, Inc.",http://brandlabsny.com
Comqi,http://www.comqi.com/
EasyUSAtv,
BenchPals,http://benchpals.com
Taboola,
ClearMove,
"Mirror Media, Inc.",http://mirror.co
Snaps! (fka GoldRun),http://www.snapsapp.com
Twiage,http://www.twiagemed.com
BringMeThat,http://www.bringmethat.com/
Project Funding Capital,
Vital Performance,http://www.vitalperformance.com
RiXtrema,http://www.rixtrema.com
Hopskoch (Sifr),http://www.hopskoch.com/
"BlueLine Grid, Inc.",http://www.bluelinegrid.com
The Couture Cook / Doughnate,http://thecouturecook.com
Luxury Link Travel Group,http://www.luxurylink.com
eDivv Inc.,http://www.edivv.com
Tinypass,http://tinypass.com
EHR.Works,http://ehr.works
All You Need Staffing Registry,http://www.allyouneedstaffing.com
iQuest Partners,http://iquestpartners.com/
Coalesce Creative,http://www.coalesce.us/
Evolution4,http://www.evolution4.co
AssetCompass,http://www.assetcompass.com
BareSkin Bags,http://www.bareskinbags.com
Drinkstantly,
The Sunday Fare,http://thesundayfare.com
Fiesta Technology,http://www.fiesta.cc
"Sageworks, Inc.",https://www.sageworks.com/
Admittedly,http://admittedly.com
reKiosk,http://rekiosk.com
mappedinworld,http://www.mappedinworld.com/en/home
Dynamic Video,http://www.dynamicvideo.com
wellne.st,
STN Media,http://www.stnmedianyc.com/
JetSet ,
Crowdscore Labs Inc,
The Shoplift,http://theshoplift.com
